pid,optimiser,learning_rate,dropout,layer_unfreeze,seed
1,AdamW,0.005,0.15,0,82
2,AdamW,0.005,0.15,0,15
3,AdamW,0.005,0.15,0,4
4,AdamW,0.005,0.15,0,95
5,AdamW,0.005,0.15,0,36
6,AdamW,0.005,0.15,0,32
7,AdamW,0.005,0.15,0,29
8,AdamW,0.005,0.15,0,18
9,AdamW,0.005,0.15,0,14
10,AdamW,0.005,0.15,0,87
11,AdamW,0.005,0.15,1,82
12,AdamW,0.005,0.15,1,15
13,AdamW,0.005,0.15,1,4
14,AdamW,0.005,0.15,1,95
15,AdamW,0.005,0.15,1,36
16,AdamW,0.005,0.15,1,32
17,AdamW,0.005,0.15,1,29
18,AdamW,0.005,0.15,1,18
19,AdamW,0.005,0.15,1,14
20,AdamW,0.005,0.15,1,87
21,AdamW,0.005,0.15,2,82
22,AdamW,0.005,0.15,2,15
23,AdamW,0.005,0.15,2,4
24,AdamW,0.005,0.15,2,95
25,AdamW,0.005,0.15,2,36
26,AdamW,0.005,0.15,2,32
27,AdamW,0.005,0.15,2,29
28,AdamW,0.005,0.15,2,18
29,AdamW,0.005,0.15,2,14
30,AdamW,0.005,0.15,2,87
31,AdamW,0.005,0.2,0,82
32,AdamW,0.005,0.2,0,15
33,AdamW,0.005,0.2,0,4
34,AdamW,0.005,0.2,0,95
35,AdamW,0.005,0.2,0,36
36,AdamW,0.005,0.2,0,32
37,AdamW,0.005,0.2,0,29
38,AdamW,0.005,0.2,0,18
39,AdamW,0.005,0.2,0,14
40,AdamW,0.005,0.2,0,87
41,AdamW,0.005,0.2,1,82
42,AdamW,0.005,0.2,1,15
43,AdamW,0.005,0.2,1,4
44,AdamW,0.005,0.2,1,95
45,AdamW,0.005,0.2,1,36
46,AdamW,0.005,0.2,1,32
47,AdamW,0.005,0.2,1,29
48,AdamW,0.005,0.2,1,18
49,AdamW,0.005,0.2,1,14
50,AdamW,0.005,0.2,1,87
51,AdamW,0.005,0.2,2,82
52,AdamW,0.005,0.2,2,15
53,AdamW,0.005,0.2,2,4
54,AdamW,0.005,0.2,2,95
55,AdamW,0.005,0.2,2,36
56,AdamW,0.005,0.2,2,32
57,AdamW,0.005,0.2,2,29
58,AdamW,0.005,0.2,2,18
59,AdamW,0.005,0.2,2,14
60,AdamW,0.005,0.2,2,87
61,AdamW,0.005,0.25,0,82
62,AdamW,0.005,0.25,0,15
63,AdamW,0.005,0.25,0,4
64,AdamW,0.005,0.25,0,95
65,AdamW,0.005,0.25,0,36
66,AdamW,0.005,0.25,0,32
67,AdamW,0.005,0.25,0,29
68,AdamW,0.005,0.25,0,18
69,AdamW,0.005,0.25,0,14
70,AdamW,0.005,0.25,0,87
71,AdamW,0.005,0.25,1,82
72,AdamW,0.005,0.25,1,15
73,AdamW,0.005,0.25,1,4
74,AdamW,0.005,0.25,1,95
75,AdamW,0.005,0.25,1,36
76,AdamW,0.005,0.25,1,32
77,AdamW,0.005,0.25,1,29
78,AdamW,0.005,0.25,1,18
79,AdamW,0.005,0.25,1,14
80,AdamW,0.005,0.25,1,87
81,AdamW,0.005,0.25,2,82
82,AdamW,0.005,0.25,2,15
83,AdamW,0.005,0.25,2,4
84,AdamW,0.005,0.25,2,95
85,AdamW,0.005,0.25,2,36
86,AdamW,0.005,0.25,2,32
87,AdamW,0.005,0.25,2,29
88,AdamW,0.005,0.25,2,18
89,AdamW,0.005,0.25,2,14
90,AdamW,0.005,0.25,2,87
91,AdamW,0.0001,0.15,0,82
92,AdamW,0.0001,0.15,0,15
93,AdamW,0.0001,0.15,0,4
94,AdamW,0.0001,0.15,0,95
95,AdamW,0.0001,0.15,0,36
96,AdamW,0.0001,0.15,0,32
97,AdamW,0.0001,0.15,0,29
98,AdamW,0.0001,0.15,0,18
99,AdamW,0.0001,0.15,0,14
100,AdamW,0.0001,0.15,0,87
101,AdamW,0.0001,0.15,1,82
102,AdamW,0.0001,0.15,1,15
103,AdamW,0.0001,0.15,1,4
104,AdamW,0.0001,0.15,1,95
105,AdamW,0.0001,0.15,1,36
106,AdamW,0.0001,0.15,1,32
107,AdamW,0.0001,0.15,1,29
108,AdamW,0.0001,0.15,1,18
109,AdamW,0.0001,0.15,1,14
110,AdamW,0.0001,0.15,1,87
111,AdamW,0.0001,0.15,2,82
112,AdamW,0.0001,0.15,2,15
113,AdamW,0.0001,0.15,2,4
114,AdamW,0.0001,0.15,2,95
115,AdamW,0.0001,0.15,2,36
116,AdamW,0.0001,0.15,2,32
117,AdamW,0.0001,0.15,2,29
118,AdamW,0.0001,0.15,2,18
119,AdamW,0.0001,0.15,2,14
120,AdamW,0.0001,0.15,2,87
121,AdamW,0.0001,0.2,0,82
122,AdamW,0.0001,0.2,0,15
123,AdamW,0.0001,0.2,0,4
124,AdamW,0.0001,0.2,0,95
125,AdamW,0.0001,0.2,0,36
126,AdamW,0.0001,0.2,0,32
127,AdamW,0.0001,0.2,0,29
128,AdamW,0.0001,0.2,0,18
129,AdamW,0.0001,0.2,0,14
130,AdamW,0.0001,0.2,0,87
131,AdamW,0.0001,0.2,1,82
132,AdamW,0.0001,0.2,1,15
133,AdamW,0.0001,0.2,1,4
134,AdamW,0.0001,0.2,1,95
135,AdamW,0.0001,0.2,1,36
136,AdamW,0.0001,0.2,1,32
137,AdamW,0.0001,0.2,1,29
138,AdamW,0.0001,0.2,1,18
139,AdamW,0.0001,0.2,1,14
140,AdamW,0.0001,0.2,1,87
141,AdamW,0.0001,0.2,2,82
142,AdamW,0.0001,0.2,2,15
143,AdamW,0.0001,0.2,2,4
144,AdamW,0.0001,0.2,2,95
145,AdamW,0.0001,0.2,2,36
146,AdamW,0.0001,0.2,2,32
147,AdamW,0.0001,0.2,2,29
148,AdamW,0.0001,0.2,2,18
149,AdamW,0.0001,0.2,2,14
150,AdamW,0.0001,0.2,2,87
151,AdamW,0.0001,0.25,0,82
152,AdamW,0.0001,0.25,0,15
153,AdamW,0.0001,0.25,0,4
154,AdamW,0.0001,0.25,0,95
155,AdamW,0.0001,0.25,0,36
156,AdamW,0.0001,0.25,0,32
157,AdamW,0.0001,0.25,0,29
158,AdamW,0.0001,0.25,0,18
159,AdamW,0.0001,0.25,0,14
160,AdamW,0.0001,0.25,0,87
161,AdamW,0.0001,0.25,1,82
162,AdamW,0.0001,0.25,1,15
163,AdamW,0.0001,0.25,1,4
164,AdamW,0.0001,0.25,1,95
165,AdamW,0.0001,0.25,1,36
