optimiser,folder_lr,folder_dropout,folder_unf,mean_walltime_sec,std_walltime,num_seeds
Adam,0.0001,0.15,0,19084.30,18544.16,10
Adam,0.0001,0.15,1,8153.70,1876.72,10
Adam,0.0001,0.15,2,7717.30,2358.94,10
Adam,0.0001,0.2,0,24823.10,23950.61,10
Adam,0.0001,0.2,1,7577.30,1092.18,10
Adam,0.0001,0.2,2,6540.10,1660.77,10
Adam,0.0001,0.25,0,24356.10,25945.57,10
Adam,0.0001,0.25,1,8486.30,1833.93,10
Adam,0.0001,0.25,2,7519.50,1904.16,10
Adam,0.0005,0.15,0,16516.00,5700.42,10
Adam,0.0005,0.15,1,6812.80,1759.62,10
Adam,0.0005,0.15,2,6300.70,1383.93,10
Adam,0.0005,0.2,0,16600.30,5568.82,10
Adam,0.0005,0.2,1,5926.10,1368.69,10
Adam,0.0005,0.2,2,5885.60,961.73,10
Adam,0.0005,0.25,0,15285.30,5894.86,10
Adam,0.0005,0.25,1,5844.40,958.91,10
Adam,0.0005,0.25,2,5763.50,1079.14,10
Adam,0.005,0.15,0,9642.10,2397.06,10
Adam,0.005,0.15,1,7794.70,2407.57,10
Adam,0.005,0.15,2,6179.30,1334.14,10
Adam,0.005,0.2,0,8251.20,1663.40,10
Adam,0.005,0.2,1,7656.20,2269.43,10
Adam,0.005,0.2,2,7543.30,2606.16,10
Adam,0.005,0.25,0,9993.50,1860.28,10
Adam,0.005,0.25,1,7628.60,2150.40,10
Adam,0.005,0.25,2,5962.20,1262.95,10
AdamW,0.0001,0.15,0,26047.20,27386.41,10
AdamW,0.0001,0.15,1,5995.90,1226.21,10
AdamW,0.0001,0.15,2,5273.10,885.81,10
AdamW,0.0001,0.2,0,20585.30,21012.48,10
AdamW,0.0001,0.2,1,5996.90,899.88,10
AdamW,0.0001,0.2,2,6021.00,1535.57,10
AdamW,0.0001,0.25,0,21587.70,18862.43,10
AdamW,0.0001,0.25,1,7533.90,892.16,10
AdamW,0.0001,0.25,2,6346.80,1040.39,10
AdamW,0.0005,0.15,0,24631.50,18369.83,10
AdamW,0.0005,0.15,1,5935.70,2040.84,10
AdamW,0.0005,0.15,2,5843.00,691.13,10
AdamW,0.0005,0.2,0,17707.60,4974.99,10
AdamW,0.0005,0.2,1,5472.50,1592.06,10
AdamW,0.0005,0.2,2,6158.70,1884.07,10
AdamW,0.0005,0.25,0,18090.30,7205.48,10
AdamW,0.0005,0.25,1,6297.80,1460.40,10
AdamW,0.0005,0.25,2,6531.20,1286.70,10
AdamW,0.005,0.15,0,9412.70,1592.55,10
AdamW,0.005,0.15,1,6983.60,1744.03,10
AdamW,0.005,0.15,2,12258.20,3495.59,10
AdamW,0.005,0.2,0,10334.50,3092.41,10
AdamW,0.005,0.2,1,8097.40,2721.31,10
AdamW,0.005,0.2,2,8296.50,3344.44,10
AdamW,0.005,0.25,0,10436.90,1856.55,10
AdamW,0.005,0.25,1,7919.20,2169.18,10
AdamW,0.005,0.25,2,8080.70,3373.38,10
