optimiser,folder_lr,folder_dropout,folder_unf,mean_walltime_sec,std_walltime,num_seeds
Adam,0.0001,0.15,0,206.50,27.98,10
Adam,0.0001,0.15,1,184.90,11.23,10
Adam,0.0001,0.15,2,187.80,13.50,10
Adam,0.0001,0.2,0,201.90,24.70,10
Adam,0.0001,0.2,1,189.70,13.79,10
Adam,0.0001,0.2,2,205.50,23.61,10
Adam,0.0001,0.25,0,201.20,16.25,10
Adam,0.0001,0.25,1,186.50,12.01,10
Adam,0.0001,0.25,2,185.20,14.12,10
Adam,0.0005,0.15,0,197.20,18.86,10
Adam,0.0005,0.15,1,197.00,19.06,10
Adam,0.0005,0.15,2,190.20,12.81,10
Adam,0.0005,0.2,0,207.60,27.00,10
Adam,0.0005,0.2,1,191.00,17.36,10
Adam,0.0005,0.2,2,196.50,17.83,10
Adam,0.0005,0.25,0,201.20,18.74,10
Adam,0.0005,0.25,1,198.30,15.49,10
Adam,0.0005,0.25,2,196.50,20.21,10
Adam,0.005,0.15,0,192.40,23.49,10
Adam,0.005,0.15,1,206.80,29.32,10
Adam,0.005,0.15,2,192.60,13.79,10
Adam,0.005,0.2,0,207.30,28.04,10
Adam,0.005,0.2,1,182.80,12.35,10
Adam,0.005,0.2,2,195.30,31.10,10
Adam,0.005,0.25,0,195.70,16.74,10
Adam,0.005,0.25,1,189.80,21.24,10
Adam,0.005,0.25,2,206.20,23.61,10
AdamW,0.0001,0.15,0,202.40,34.80,10
AdamW,0.0001,0.15,1,209.00,22.46,10
AdamW,0.0001,0.15,2,194.50,20.18,10
AdamW,0.0001,0.2,0,199.70,38.49,10
AdamW,0.0001,0.2,1,183.40,9.87,10
AdamW,0.0001,0.2,2,192.70,13.75,10
AdamW,0.0001,0.25,0,193.50,17.80,10
AdamW,0.0001,0.25,1,199.70,14.01,10
AdamW,0.0001,0.25,2,196.70,10.07,10
AdamW,0.0005,0.15,0,193.30,17.29,10
AdamW,0.0005,0.15,1,195.70,14.58,10
AdamW,0.0005,0.15,2,202.90,37.78,10
AdamW,0.0005,0.2,0,192.40,15.73,10
AdamW,0.0005,0.2,1,209.20,38.75,10
AdamW,0.0005,0.2,2,196.70,29.34,10
AdamW,0.0005,0.25,0,199.50,27.42,10
AdamW,0.0005,0.25,1,198.40,36.53,10
AdamW,0.0005,0.25,2,199.10,30.46,10
AdamW,0.005,0.15,0,198.60,20.06,10
AdamW,0.005,0.15,1,201.30,17.65,10
AdamW,0.005,0.15,2,204.00,17.94,10
AdamW,0.005,0.2,0,198.10,24.32,10
AdamW,0.005,0.2,1,197.50,23.00,10
AdamW,0.005,0.2,2,197.80,14.18,10
AdamW,0.005,0.25,0,196.80,19.15,10
AdamW,0.005,0.25,1,201.00,13.46,10
AdamW,0.005,0.25,2,198.90,14.37,10
SGD,0.0001,0.15,0,199.70,17.76,10
SGD,0.0001,0.15,1,218.20,29.64,10
SGD,0.0001,0.15,2,195.30,13.20,10
SGD,0.0001,0.2,0,206.50,16.19,10
SGD,0.0001,0.2,1,211.50,22.77,10
SGD,0.0001,0.2,2,227.70,26.27,10
SGD,0.0001,0.25,0,236.60,31.80,10
SGD,0.0001,0.25,1,206.50,26.57,10
SGD,0.0001,0.25,2,218.80,21.35,10
SGD,0.0005,0.15,0,206.10,20.35,10
SGD,0.0005,0.15,1,189.60,12.64,10
SGD,0.0005,0.15,2,211.80,23.24,10
SGD,0.0005,0.2,0,228.40,43.64,10
SGD,0.0005,0.2,1,198.70,30.76,10
SGD,0.0005,0.2,2,197.90,14.00,10
SGD,0.0005,0.25,0,207.70,17.88,10
SGD,0.0005,0.25,1,201.50,30.17,10
SGD,0.0005,0.25,2,195.90,16.97,10
SGD,0.005,0.15,0,214.70,27.68,10
SGD,0.005,0.15,1,198.70,20.04,10
SGD,0.005,0.15,2,200.00,24.49,10
SGD,0.005,0.2,0,209.20,29.95,10
SGD,0.005,0.2,1,210.70,35.88,10
SGD,0.005,0.2,2,213.30,22.84,10
SGD,0.005,0.25,0,207.30,24.36,10
SGD,0.005,0.25,1,223.30,31.69,10
SGD,0.005,0.25,2,210.50,35.72,10
