optimiser,folder_lr,folder_dropout,folder_unf,mean_walltime_sec,std_walltime,num_seeds
Adam,0.0001,0.15,0,3828.10,800.78,10
Adam,0.0001,0.15,1,881.70,173.82,10
Adam,0.0001,0.15,2,770.70,206.68,10
Adam,0.0001,0.2,0,3684.40,708.79,10
Adam,0.0001,0.2,1,865.80,189.64,10
Adam,0.0001,0.2,2,793.40,130.70,10
Adam,0.0001,0.25,0,3764.30,684.62,10
Adam,0.0001,0.25,1,802.70,136.40,10
Adam,0.0001,0.25,2,742.60,164.16,10
Adam,0.0005,0.15,0,1685.90,295.91,10
Adam,0.0005,0.15,1,640.30,147.10,10
Adam,0.0005,0.15,2,646.60,89.80,10
Adam,0.0005,0.2,0,1659.60,339.44,10
Adam,0.0005,0.2,1,641.50,125.61,10
Adam,0.0005,0.2,2,654.10,188.27,10
Adam,0.0005,0.25,0,1812.30,370.05,10
Adam,0.0005,0.25,1,579.80,133.71,10
Adam,0.0005,0.25,2,671.50,150.62,10
Adam,0.005,0.15,0,792.40,127.55,10
Adam,0.005,0.15,1,789.60,173.15,10
Adam,0.005,0.15,2,710.30,285.77,10
Adam,0.005,0.2,0,816.70,144.57,10
Adam,0.005,0.2,1,814.40,141.02,10
Adam,0.005,0.2,2,672.40,273.06,10
Adam,0.005,0.25,0,844.30,121.68,10
Adam,0.005,0.25,1,771.00,191.70,10
Adam,0.005,0.25,2,712.70,276.87,10
AdamW,0.0001,0.15,0,4216.20,1145.89,10
AdamW,0.0001,0.15,1,513.50,25.54,10
AdamW,0.0001,0.15,2,461.40,31.10,10
AdamW,0.0001,0.2,0,4354.20,1146.94,10
AdamW,0.0001,0.2,1,524.60,37.12,10
AdamW,0.0001,0.2,2,467.70,37.05,10
AdamW,0.0001,0.25,0,4239.20,1089.58,10
AdamW,0.0001,0.25,1,531.00,24.42,10
AdamW,0.0001,0.25,2,452.90,39.79,10
AdamW,0.0005,0.15,0,1973.10,492.66,10
AdamW,0.0005,0.15,1,458.70,64.79,10
AdamW,0.0005,0.15,2,420.40,25.33,10
AdamW,0.0005,0.2,0,2049.10,548.39,10
AdamW,0.0005,0.2,1,445.00,45.06,10
AdamW,0.0005,0.2,2,466.30,48.59,10
AdamW,0.0005,0.25,0,1916.40,530.43,10
AdamW,0.0005,0.25,1,447.80,20.51,10
AdamW,0.0005,0.25,2,474.10,102.17,10
AdamW,0.005,0.15,0,1080.10,263.00,10
AdamW,0.005,0.15,1,696.90,135.34,10
AdamW,0.005,0.15,2,947.40,267.55,10
AdamW,0.005,0.2,0,1022.60,282.52,10
AdamW,0.005,0.2,1,667.10,127.92,10
AdamW,0.005,0.2,2,800.20,162.34,10
AdamW,0.005,0.25,0,1020.40,161.00,10
AdamW,0.005,0.25,1,704.70,165.65,10
AdamW,0.005,0.25,2,756.70,126.11,10
SGD,0.0001,0.15,0,5860.30,56.42,10
SGD,0.0001,0.15,1,6058.60,17.02,10
SGD,0.0001,0.15,2,6268.60,36.92,10
SGD,0.0001,0.2,0,5855.80,37.90,10
SGD,0.0001,0.2,1,6066.10,37.98,10
SGD,0.0001,0.2,2,6284.50,31.31,10
SGD,0.0001,0.25,0,5863.50,24.90,10
SGD,0.0001,0.25,1,6067.20,63.60,10
SGD,0.0001,0.25,2,6260.80,31.29,10
SGD,0.0005,0.15,0,5851.40,32.33,10
SGD,0.0005,0.15,1,5336.70,919.62,10
SGD,0.0005,0.15,2,4843.00,1088.67,10
SGD,0.0005,0.2,0,5871.50,43.87,10
SGD,0.0005,0.2,1,5393.50,778.60,10
SGD,0.0005,0.2,2,5051.00,1397.78,10
SGD,0.0005,0.25,0,5861.30,29.70,10
SGD,0.0005,0.25,1,5945.10,278.47,10
SGD,0.0005,0.25,2,5037.20,1303.73,10
SGD,0.005,0.15,0,2785.90,584.30,10
SGD,0.005,0.15,1,1926.50,562.68,10
SGD,0.005,0.15,2,1305.00,262.61,10
SGD,0.005,0.2,0,2839.40,543.50,10
SGD,0.005,0.2,1,1854.40,386.05,10
SGD,0.005,0.2,2,1496.00,433.83,10
SGD,0.005,0.25,0,2724.40,777.20,10
SGD,0.005,0.25,1,1984.80,428.06,10
SGD,0.005,0.25,2,1313.60,233.30,10
