optimiser,folder_unf,folder_lr,folder_dropout,num_seeds,best_val_loss,best_val_loss_std,total_train_time_s,total_train_time_s_std,total_val_time_s,total_val_time_s_std,accuracy,accuracy_std,tn,tn_std,fp,fp_std,fn,fn_std,tp,tp_std,f1_score,f1_score_std
Adam,0,0.0001,0.15,10,0.2915,0.01858,667.06,381.03454,147.662,85.0893,0.90204,0.01101,198.0,5.4569,29.0,5.4569,18.9,3.69534,243.1,3.69534,0.91035,0.00962
Adam,0,0.0001,0.2,10,0.29059,0.02012,700.379,433.85238,155.035,96.86929,0.90307,0.01205,198.5,5.58271,28.5,5.58271,18.9,3.47851,243.1,3.47851,0.91121,0.01052
Adam,0,0.0001,0.25,10,0.29087,0.01995,688.258,396.26575,152.358,88.53018,0.90307,0.01158,198.5,5.21217,28.5,5.21217,18.9,3.69534,243.1,3.69534,0.9112,0.01025
Adam,0,0.0005,0.15,10,0.27842,0.01695,314.469,132.19186,69.577,29.58882,0.90348,0.01188,198.0,5.09902,29.0,5.09902,18.2,3.88158,243.8,3.88158,0.91176,0.0106
Adam,0,0.0005,0.2,10,0.27737,0.01512,353.917,155.84565,78.314,34.85572,0.90327,0.01052,198.3,4.78539,28.7,4.78539,18.6,3.33999,243.4,3.33999,0.91146,0.00927
Adam,0,0.0005,0.25,10,0.27704,0.01786,368.032,138.92696,81.586,31.1747,0.90286,0.01186,197.9,5.13052,29.1,5.13052,18.4,3.89301,243.6,3.89301,0.91119,0.01059
Adam,0,0.005,0.15,10,0.26512,0.01443,161.555,86.61372,35.672,19.35605,0.90511,0.01235,198.4,5.2111,28.6,5.2111,17.8,4.15799,244.2,4.15799,0.91325,0.01109
Adam,0,0.005,0.2,10,0.26544,0.01529,153.604,62.56028,33.918,13.95691,0.90593,0.01181,198.4,5.54176,28.6,5.54176,17.4,4.11501,244.6,4.11501,0.91408,0.01045
Adam,0,0.005,0.25,10,0.26461,0.0141,142.684,47.39539,31.439,10.61206,0.90593,0.01132,198.7,4.90011,28.3,4.90011,17.7,4.71522,244.3,4.71522,0.91394,0.01039
Adam,1,0.0001,0.15,10,0.14761,0.02264,140.762,108.43396,27.859,21.85343,0.94254,0.01126,211.0,4.18994,16.0,4.18994,12.1,3.41402,249.9,3.41402,0.94678,0.01029
Adam,1,0.0001,0.2,10,0.14733,0.02252,118.59,30.14545,23.369,5.98039,0.94376,0.01012,211.9,2.55821,15.1,2.55821,12.4,3.65756,249.6,3.65756,0.94776,0.00954
Adam,1,0.0001,0.25,10,0.14855,0.02519,140.685,65.91044,27.801,13.24417,0.94151,0.01404,210.9,4.43346,16.1,4.43346,12.5,3.24037,249.5,3.24037,0.94582,0.01287
Adam,1,0.0005,0.15,10,0.14632,0.02937,96.9,32.47306,19.121,6.56723,0.94315,0.0149,211.6,4.00555,15.4,4.00555,12.4,4.22164,249.6,4.22164,0.94724,0.0139
