optimiser,folder_unf,folder_lr,folder_dropout,num_seeds,best_val_loss,best_val_loss_std,total_train_time_s,total_train_time_s_std,total_val_time_s,total_val_time_s_std,accuracy,accuracy_std,tn,tn_std,fp,fp_std,fn,fn_std,tp,tp_std,f1_score,f1_score_std
Adam,1,0.0001,0.15,10,0.17516,0.07601,12.429,4.5399,2.358,0.84481,0.936,0.00775,102.2,1.61933,7.8,1.61933,5.0,1.76383,85.0,1.76383,0.92995,0.00872
Adam,1,0.0001,0.2,10,0.19309,0.10741,11.54,3.62542,2.195,0.66569,0.9295,0.01189,101.3,2.05751,8.7,2.05751,5.4,1.57762,84.6,1.57762,0.92311,0.01259
Adam,1,0.0001,0.25,10,0.18706,0.085,11.912,5.17374,2.26,0.94487,0.9285,0.01055,101.0,1.82574,9.0,1.82574,5.3,1.56702,84.7,1.56702,0.92216,0.01137
Adam,1,0.0005,0.15,10,0.18387,0.09824,9.349,4.58765,1.741,0.81075,0.938,0.00888,102.2,2.14994,7.8,2.14994,4.6,1.57762,85.4,1.57762,0.93235,0.00934
Adam,1,0.0005,0.2,10,0.18401,0.09474,8.418,3.33137,1.61,0.77962,0.943,0.01111,103.5,1.84089,6.5,1.84089,4.9,2.55821,85.1,2.55821,0.93711,0.01291
Adam,1,0.0005,0.25,10,0.18088,0.08584,8.163,2.18335,1.535,0.40891,0.94,0.0085,103.0,2.26078,7.0,2.26078,5.0,1.69967,85.0,1.69967,0.9341,0.00892
Adam,2,0.0001,0.15,10,0.18661,0.10332,11.321,4.93392,1.909,0.82367,0.945,0.0113,103.5,1.90029,6.5,1.90029,4.5,1.71594,85.5,1.71594,0.93957,0.01233
Adam,2,0.0001,0.2,10,0.18311,0.08582,11.469,4.49625,1.924,0.74651,0.9415,0.01156,102.8,1.22927,7.2,1.22927,4.5,1.50923,85.5,1.50923,0.93594,0.01277
Adam,2,0.0001,0.25,10,0.17907,0.09187,12.136,5.50758,2.07,1.07385,0.9395,0.00926,102.5,2.3214,7.5,2.3214,4.6,1.77639,85.4,1.77639,0.93388,0.00979
Adam,2,0.0005,0.15,10,0.19908,0.1036,10.25,3.99942,1.684,0.62461,0.9395,0.01301,104.1,2.18327,5.9,2.18327,6.2,1.93218,83.8,1.93218,0.93267,0.01447
Adam,2,0.0005,0.2,10,0.19154,0.07858,9.948,3.05413,1.644,0.49925,0.945,0.00943,104.3,1.05935,5.7,1.05935,5.3,2.31181,84.7,2.31181,0.93889,0.01117
Adam,2,0.0005,0.25,10,0.19235,0.09007,10.432,4.92081,1.72,0.79165,0.9425,0.0123,104.2,2.52982,5.8,2.52982,5.7,2.00278,84.3,2.00278,0.93619,0.01339
AdamW,0,0.0001,0.15,1,0.63266,,15.8,,3.19,,0.64,,83.0,,27.0,,45.0,,45.0,,0.55556,
AdamW,1,0.0001,0.15,10,0.22431,0.08171,9.033,3.24772,1.681,0.60366,0.923,0.01085,100.4,2.87518,9.6,2.87518,5.8,1.75119,84.2,1.75119,0.91631,0.01095
AdamW,1,0.0001,0.2,10,0.21015,0.08606,8.996,2.42778,1.712,0.53989,0.932,0.01494,100.3,2.54078,9.7,2.54078,3.9,1.37032,86.1,1.37032,0.92691,0.01546
AdamW,1,0.0001,0.25,10,0.22745,0.09123,8.152,2.59501,1.513,0.48525,0.9225,0.01339,99.8,3.45768,10.2,3.45768,5.3,2.21359,84.7,2.21359,0.9163,0.01355
AdamW,1,0.0005,0.15,10,0.21076,0.0949,7.552,3.43071,1.385,0.60943,0.9345,0.01301,102.0,2.86744,8.0,2.86744,5.1,1.66333,84.9,1.66333,0.92849,0.01346
AdamW,1,0.0005,0.2,10,0.192,0.08821,8.076,3.04468,1.496,0.54443,0.941,0.01308,102.5,2.54951,7.5,2.54951,4.3,1.82878,85.7,1.82878,0.93565,0.01393
AdamW,1,0.0005,0.25,10,0.2225,0.09144,8.639,3.04497,1.61,0.52814,0.9345,0.00599,102.6,1.83787,7.4,1.83787,5.7,2.16282,84.3,2.16282,0.92784,0.00715
AdamW,2,0.0001,0.15,10,0.20428,0.09413,8.453,2.99636,1.389,0.51104,0.9365,0.00914,102.6,1.42984,7.4,1.42984,5.3,2.05751,84.7,2.05751,0.93018,0.01047
AdamW,2,0.0001,0.2,10,0.19154,0.10077,8.742,2.39681,1.458,0.44634,0.9445,0.01691,102.7,2.21359,7.3,2.21359,3.8,1.75119,86.2,1.75119,0.93955,0.0185
AdamW,2,0.0001,0.25,10,0.21022,0.09005,8.112,2.14414,1.334,0.38213,0.9355,0.01066,102.3,1.76698,7.7,1.76698,5.2,2.48551,84.8,2.48551,0.9292,0.01236
AdamW,2,0.0005,0.15,10,0.22904,0.12528,8.043,1.98864,1.311,0.32022,0.9375,0.01087,103.3,2.00278,6.7,2.00278,5.8,1.39841,84.2,1.39841,0.93094,0.01177
AdamW,2,0.0005,0.2,10,0.20191,0.08559,7.629,1.49165,1.254,0.28741,0.937,0.0116,102.9,1.91195,7.1,1.91195,5.5,2.27303,84.5,2.27303,0.93055,0.01303
AdamW,2,0.0005,0.25,10,0.20266,0.0974,8.31,2.5032,1.406,0.59084,0.936,0.0115,102.2,2.34758,7.8,2.34758,5.0,1.56347,85.0,1.56347,0.93004,0.01214
