optimiser,folder_unf,folder_lr,folder_dropout,num_seeds,best_val_loss,best_val_loss_std,total_train_time_s,total_train_time_s_std,total_val_time_s,total_val_time_s_std,accuracy,accuracy_std,tn,tn_std,fp,fp_std,fn,fn_std,tp,tp_std,f1_score,f1_score_std
Adam,0,0.0001,0.15,10,0.29037,0.0182,3525.515,748.8844,255.471,54.00904,0.90164,0.01138,198.0,5.09902,29.0,5.09902,19.1,3.66515,242.9,3.66515,0.90993,0.01009
Adam,0,0.0001,0.2,10,0.29337,0.01964,3393.476,658.97638,246.047,48.34659,0.90143,0.0116,198.1,5.38413,28.9,5.38413,19.3,3.86005,242.7,3.86005,0.9097,0.01026
Adam,0,0.0001,0.25,10,0.29344,0.02158,3465.727,642.21358,250.962,47.05493,0.90143,0.01188,197.8,5.82714,29.2,5.82714,19.0,3.74166,243.0,3.74166,0.90982,0.01034
Adam,0,0.0005,0.15,10,0.27602,0.01655,1528.833,274.40539,110.842,19.92088,0.90368,0.01159,198.3,5.1435,28.7,5.1435,18.4,3.59629,243.6,3.59629,0.91188,0.01026
Adam,0,0.0005,0.2,10,0.27772,0.0167,1501.613,321.81726,108.879,23.24619,0.90307,0.01053,198.4,4.67143,28.6,4.67143,18.8,3.88158,243.2,3.88158,0.91121,0.00948
Adam,0,0.0005,0.25,10,0.27507,0.01528,1641.47,343.99731,119.139,24.98722,0.90409,0.01155,198.3,5.2079,28.7,5.2079,18.2,4.34102,243.8,4.34102,0.91226,0.01038
Adam,0,0.005,0.15,10,0.26456,0.01448,695.408,118.18357,50.454,8.66854,0.90532,0.01002,198.8,5.32917,28.2,5.32917,18.1,3.98469,243.9,3.98469,0.91333,0.00884
Adam,0,0.005,0.2,10,0.26457,0.01592,719.887,134.94764,52.205,9.85925,0.90552,0.01148,198.1,5.02107,28.9,5.02107,17.3,3.9172,244.7,3.9172,0.91376,0.01024
Adam,0,0.005,0.25,10,0.26536,0.01329,747.259,113.74689,54.144,8.26776,0.90634,0.00919,198.7,4.80856,28.3,4.80856,17.5,3.80789,244.5,3.80789,0.91437,0.00819
Adam,1,0.0001,0.15,10,0.14418,0.02278,781.055,163.95543,54.455,11.43674,0.94683,0.00715,212.1,3.54181,14.9,3.54181,11.1,2.60128,250.9,2.60128,0.95075,0.00646
Adam,1,0.0001,0.2,10,0.14681,0.02557,765.108,178.39632,53.414,12.47057,0.9454,0.01257,212.2,3.11983,14.8,3.11983,11.9,4.22821,250.1,4.22821,0.9493,0.01184
Adam,1,0.0001,0.25,10,0.14585,0.02447,709.341,124.37234,49.471,8.74187,0.9454,0.0112,211.5,4.06202,15.5,4.06202,11.2,3.4254,250.8,3.4254,0.94947,0.01029
Adam,1,0.0005,0.15,10,0.1482,0.02739,553.459,138.26389,38.579,9.60614,0.94192,0.01104,212.0,2.82843,15.0,2.82843,13.4,4.76562,248.6,4.76562,0.94591,0.0106
Adam,1,0.0005,0.2,10,0.14978,0.02348,559.503,118.13194,39.035,8.18543,0.94479,0.012,212.2,2.93636,14.8,2.93636,12.2,5.32917,249.8,5.32917,0.94866,0.01156
Adam,1,0.0005,0.25,10,0.14612,0.03001,502.494,126.32435,35.016,8.77389,0.94397,0.0107,211.5,3.62859,15.5,3.62859,11.9,3.78447,250.1,3.78447,0.94806,0.00989
Adam,1,0.005,0.15,10,0.15061,0.02251,693.262,164.69504,48.338,11.5778,0.94356,0.01322,210.8,5.0728,16.2,5.0728,11.4,3.09839,250.6,3.09839,0.94785,0.01194
Adam,1,0.005,0.2,10,0.15538,0.03071,719.958,134.17017,50.207,9.39655,0.93845,0.01236,210.6,3.65756,16.4,3.65756,13.7,3.88873,248.3,3.88873,0.94284,0.0115
Adam,1,0.005,0.25,10,0.1582,0.03423,680.262,178.16033,47.365,12.38949,0.93947,0.01235,210.6,3.50238,16.4,3.50238,13.2,4.46716,248.8,4.46716,0.94382,0.01164
Adam,2,0.0001,0.15,10,0.13612,0.02333,680.32,193.37486,45.606,12.8491,0.94888,0.00734,212.8,2.20101,14.2,2.20101,10.8,3.61478,251.2,3.61478,0.95257,0.00702
Adam,2,0.0001,0.2,10,0.13397,0.02365,677.518,116.79399,45.447,7.84566,0.94847,0.00987,212.6,3.43835,14.4,3.43835,10.8,3.01109,251.2,3.01109,0.95224,0.00909
Adam,2,0.0001,0.25,10,0.13411,0.02344,656.392,154.01549,44.079,10.27759,0.94806,0.011,212.5,3.2059,14.5,3.2059,10.9,3.81372,251.1,3.81372,0.95184,0.01028
Adam,2,0.0005,0.15,10,0.1422,0.02814,556.094,79.38016,37.317,5.39366,0.94622,0.00925,212.5,3.24037,14.5,3.24037,11.8,4.46716,250.2,4.46716,0.95003,0.00879
Adam,2,0.0005,0.2,10,0.14296,0.0272,571.299,176.05475,38.327,11.83946,0.9456,0.0122,213.3,3.05687,13.7,3.05687,12.9,4.62961,249.1,4.62961,0.94927,0.01166
Adam,2,0.0005,0.25,10,0.14145,0.02558,588.461,142.22316,39.509,9.62579,0.94417,0.00988,212.7,3.36815,14.3,3.36815,13.0,3.8873,249.0,3.8873,0.94801,0.00928
Adam,2,0.005,0.15,10,0.4586,0.26458,623.901,268.98303,41.777,18.04446,0.69836,0.20994,84.1,108.59144,142.9,108.59144,4.6,5.98517,257.4,5.98517,0.7973,0.12861
Adam,2,0.005,0.2,10,0.39549,0.24834,586.976,257.51153,39.375,17.28835,0.7362,0.21147,104.6,110.28267,122.4,110.28267,6.6,7.60409,255.4,7.60409,0.81953,0.1287
Adam,2,0.005,0.25,10,0.44145,0.25484,628.536,259.86473,42.242,17.51109,0.69714,0.2084,84.1,108.61394,142.9,108.61394,5.2,7.56894,256.8,7.56894,0.79608,0.1271
AdamW,0,0.0001,0.15,10,0.2751,0.0262,3872.739,1066.36733,280.159,77.02351,0.90368,0.01273,198.4,5.68038,28.6,5.68038,18.5,3.37474,243.5,3.37474,0.91187,0.01112
AdamW,0,0.0001,0.2,10,0.27242,0.02322,4010.128,1072.99387,290.222,77.62445,0.90532,0.01145,198.9,5.06513,28.1,5.06513,18.2,3.79473,243.8,3.79473,0.9133,0.01021
AdamW,0,0.0001,0.25,10,0.27594,0.02419,3908.559,1017.9155,283.698,73.64396,0.90389,0.01242,198.4,5.79655,28.6,5.79655,18.4,3.59629,243.6,3.59629,0.91207,0.01085
AdamW,0,0.0005,0.15,10,0.25636,0.02575,1794.743,457.86654,130.008,33.25834,0.90634,0.01188,199.1,5.04315,27.9,5.04315,17.9,3.3483,244.1,3.3483,0.91427,0.01052
AdamW,0,0.0005,0.2,10,0.25505,0.02113,1856.466,510.37097,134.824,36.7996,0.90736,0.01129,199.4,5.37897,27.6,5.37897,17.7,2.79086,244.3,2.79086,0.91521,0.00969
AdamW,0,0.0005,0.25,10,0.25437,0.02116,1734.607,487.92996,125.83,35.68932,0.90798,0.01153,199.8,5.0728,27.2,5.0728,17.8,3.04777,244.2,3.04777,0.91568,0.01015
