optimiser,learning_rate,dropout,layer_unfreeze,seed
AdamW,0.005,0.15,0,82
AdamW,0.005,0.15,0,15
AdamW,0.005,0.15,0,4
AdamW,0.005,0.15,0,95
AdamW,0.005,0.15,0,36
AdamW,0.005,0.15,0,32
AdamW,0.005,0.15,0,29
AdamW,0.005,0.15,0,18
AdamW,0.005,0.15,0,14
AdamW,0.005,0.15,0,87
AdamW,0.005,0.15,1,82
AdamW,0.005,0.15,1,15
AdamW,0.005,0.15,1,4
AdamW,0.005,0.15,1,95
AdamW,0.005,0.15,1,36
AdamW,0.005,0.15,1,32
AdamW,0.005,0.15,1,29
AdamW,0.005,0.15,1,18
AdamW,0.005,0.15,1,14
AdamW,0.005,0.15,1,87
AdamW,0.005,0.15,2,82
AdamW,0.005,0.15,2,15
AdamW,0.005,0.15,2,4
AdamW,0.005,0.15,2,95
AdamW,0.005,0.15,2,36
AdamW,0.005,0.15,2,32
AdamW,0.005,0.15,2,29
AdamW,0.005,0.15,2,18
AdamW,0.005,0.15,2,14
AdamW,0.005,0.15,2,87
AdamW,0.005,0.2,0,82
AdamW,0.005,0.2,0,15
AdamW,0.005,0.2,0,4
AdamW,0.005,0.2,0,95
AdamW,0.005,0.2,0,36
AdamW,0.005,0.2,0,32
AdamW,0.005,0.2,0,29
AdamW,0.005,0.2,0,18
AdamW,0.005,0.2,0,14
AdamW,0.005,0.2,0,87
AdamW,0.005,0.2,1,82
AdamW,0.005,0.2,1,15
AdamW,0.005,0.2,1,4
AdamW,0.005,0.2,1,95
AdamW,0.005,0.2,1,36
AdamW,0.005,0.2,1,32
AdamW,0.005,0.2,1,29
AdamW,0.005,0.2,1,18
AdamW,0.005,0.2,1,14
AdamW,0.005,0.2,1,87
AdamW,0.005,0.2,2,82
AdamW,0.005,0.2,2,15
AdamW,0.005,0.2,2,4
AdamW,0.005,0.2,2,95
AdamW,0.005,0.2,2,36
AdamW,0.005,0.2,2,32
AdamW,0.005,0.2,2,29
AdamW,0.005,0.2,2,18
AdamW,0.005,0.2,2,14
AdamW,0.005,0.2,2,87
AdamW,0.005,0.25,0,82
AdamW,0.005,0.25,0,15
AdamW,0.005,0.25,0,4
AdamW,0.005,0.25,0,95
AdamW,0.005,0.25,0,36
AdamW,0.005,0.25,0,32
AdamW,0.005,0.25,0,29
AdamW,0.005,0.25,0,18
